scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
constant,prepared,0.08,0.001,0.0,0.7246376811594207,0.7246376811594203,0.0,0.0,0.0,0.0,0.3623188405797006,0.08751662815935032
constant,prepared,0.08,0.001,0.001,0.716377726712805,0.7246376811594872,2.093290818461213e-14,1.4443706647380827e-14,8.326672684688674e-15,0.000716377726712805,0.3623105806252592,0.08751083202395854
constant,prepared,0.08,0.001,0.002,0.7095326428592172,0.7246376811594536,1.8405416080113923e-14,1.2699737095277862e-14,1.532107773982716e-14,0.0014259103695720221,0.36229547558696856,0.08750032956252604
constant,prepared,0.08,0.001,0.003,0.7035080832604784,0.7246376811594063,5.4893589673810084e-14,3.787657687492826e-14,-2.142730437526552e-14,0.0021294184528325008,0.3622743459890538,0.08748575365903155
constant,prepared,0.08,0.001,0.004,0.6980490036578747,0.7246376811591688,3.8028608040363565e-14,2.6239739547859273e-14,-3.0753177782116836e-14,0.0028274674564903756,0.3622477573115383,0.08746754097878676
constant,prepared,0.08,0.001,0.005,0.6930145392421125,0.7246376811580522,4.606037773413618e-14,3.1781660636612955e-14,-4.8405723873656825e-14,0.0035204819957324884,0.3622161341696304,0.08744601975153417
constant,prepared,0.08,0.001,0.006,0.6883160236945504,0.7246376811538777,3.48471251854221e-14,2.4044516378124583e-14,-4.4297898682543746e-14,0.004208798019427039,0.3621798125121953,0.08742144991654485
constant,prepared,0.08,0.001,0.007,0.6838929099988116,0.7246376811402442,5.555972348858518e-14,3.8336209208136796e-14,-5.3290705182007514e-14,0.00489269092942585,0.36213906774104887,0.08739404475541185
constant,prepared,0.08,0.001,0.008,0.679701467880172,0.7246376811011835,4.150846333317304e-14,2.8640839702190347e-14,-4.340972026284362e-14,0.005572392397306022,0.36209413152783126,0.08736398383342338
constant,prepared,0.08,0.001,0.009000000000000001,0.675708786155314,0.7246376810002116,4.068273495860808e-14,2.807108712760623e-14,-3.7414515929867775e-14,0.006248101183461336,0.3620452026329786,0.0873314213278586
constant,prepared,0.08,0.001,0.01,0.6718893013887165,0.7246376807613063,3.454181385365018e-14,2.3833851572112314e-14,-3.8413716652030416e-14,0.0069199904848500525,0.3619924542536098,0.08729649168579562
constant,prepared,0.08,0.001,0.011,0.6682226537276922,0.7246376802374563,4.356931482263349e-14,3.0062827265865445e-14,-5.3179682879545e-14,0.007588213138577745,0.36193603922709394,0.08725931363207694
constant,prepared,0.08,0.001,0.012,0.6646922936481664,0.7246376791624483,3.527039771356044e-14,2.4336574489423365e-14,-3.6637359812630166e-14,0.008252905432225911,0.36187609384158453,0.08721999310499169
constant,prepared,0.08,0.001,0.013000000000000001,0.6612845390322294,0.7246376770813007,3.898270595215081e-14,2.6898067258360417e-14,-4.8627768478581856e-14,0.008914189971258141,0.3618127407035303,0.08717862546616824
constant,prepared,0.08,0.001,0.014,0.6579879153174217,0.7246376732547241,5.0306980803327406e-14,3.4711817132947895e-14,-5.6288307348495437e-14,0.009572177886575562,0.3617460909455947,0.08713529720239097
constant,prepared,0.08,0.001,0.015,0.654792680624812,0.7246376665344925,3.823330541052883e-14,2.6380981265695724e-14,-3.375077994860476e-14,0.010226970567200374,0.36167624595968706,0.08709008726175582
constant,prepared,0.08,0.001,0.016,0.651690475775565,0.7246376552074933,3.151645611154663e-14,2.1746355495783266e-14,-3.6415315207705135e-14,0.010878661042975938,0.36160329878025294,0.08704306812022801
