x,y,c_full
0.0,1.0,0.28201262191622334
0.0,0.9921875,0.28201311323821354
0.0078125,1.0,0.28058924535295243
0.0,0.984375,0.282013252133601
0.0078125,0.9921875,0.2805893644714545
0.015625,1.0,0.2791484974279779
0.0,0.9765625,0.28201330360062865
0.0078125,0.984375,0.2805894523993245
0.015625,0.9921875,0.27914852834573695
0.0234375,1.0,0.27769064237999935
0.0,0.96875,0.2820133253805251
0.0078125,0.9765625,0.28058950283970363
0.015625,0.984375,0.27914857159736245
0.0234375,0.9921875,0.27769064935222476
0.03125,1.0,0.27621581697984793
0.0,0.9609375,0.2820133355782764
0.0078125,0.96875,0.2805895307276532
0.015625,0.9765625,0.2791486060726757
0.0234375,0.984375,0.2776906690349147
0.03125,0.9921875,0.27621581616828556
0.0390625,1.0,0.27472412670974106
0.0,0.953125,0.28201334078855533
0.0078125,0.9609375,0.28058954638069744
0.015625,0.96875,0.27914862974921584
0.0234375,0.9765625,0.27769068956530274
0.03125,0.984375,0.2762158241434265
0.0390625,0.9921875,0.2747241228045755
0.046875,1.0,0.27321566870001646
0.0,0.9453125,0.282013343651099
0.0078125,0.953125,0.28058955544269143
0.015625,0.9609375,0.2791486452125682
0.0234375,0.96875,0.2776907064432143
0.03125,0.9765625,0.2762158352276433
0.0390625,0.984375,0.2747241247491846
0.046875,0.9921875,0.273215663312117
0.0546875,1.0,0.27169053788179987
0.0,0.9375,0.2820133453133793
0.0078125,0.9453125,0.28058956086241527
0.015625,0.953125,0.2791486551768213
0.0234375,0.9609375,0.27769071900169023
0.03125,0.96875,0.2762158459727048
0.0390625,0.9765625,0.27472412983466027
0.046875,0.984375,0.2732156619349015
0.0546875,0.9921875,0.27169053166553747
0.0625,1.0,0.27014882889417213
0.0,0.9296875,0.2820133463150493
0.0078125,0.9375,0.2805895641920158
0.015625,0.9453125,0.27914866160116086
0.0234375,0.953125,0.27769072790829114
0.03125,0.9609375,0.2762158549578476
0.0390625,0.96875,0.2747241358668603
0.046875,0.9765625,0.2732156632153768
0.0546875,0.984375,0.27169052831951906
0.0625,0.9921875,0.2701488221564956
0.0703125,1.0,0.26859063677320993
0.0,0.921875,0.282013346929431
0.0078125,0.9296875,0.280589566272313
0.015625,0.9375,0.27914866575699854
0.0234375,0.9453125,0.27769073406535427
0.03125,0.953125,0.276215861903811
0.0390625,0.9609375,0.274724141557277
0.046875,0.96875,0.273215665822763
0.0546875,0.9765625,0.2716905271256296
0.0625,0.984375,0.27014881755995585
0.0703125,0.9921875,0.26859062967521913
0.078125,1.0,0.267016057237861
0.0,0.9140625,0.2820133473045791
0.0078125,0.921875,0.2805895675761207
0.015625,0.9296875,0.27914866844293923
0.0234375,0.9375,0.27769073824850443
0.03125,0.9453125,0.2762158670175124
0.0390625,0.953125,0.2747241463351698
0.046875,0.9609375,0.27321566878876086
