dt,num_cells,L2_error,rate
0.01,32768,0.0005287802661493217,
0.005,32768,0.0002619328903989807,1.0134711096476505
0.0025,32768,0.00012695536442192283,1.0448758709707495
0.00125,32768,5.923135126367791e-05,1.0998884521949486
