scenario,initialization,h,T,dt,num_steps,n_layer,n_bulk,ny,full_num_cells,full_num_dofs,reduced_num_cells,reduced_num_dofs,E_L2_T,rel_E_L2_T,rate_E_L2_T,E_B_T,rel_E_B_T,rate_E_B_T,E_J_L2_rel,rate_E_J_L2_rel,E_J_T,rel_E_J_T,rate_E_J_T,E_M_T,rel_E_M_T,rate_E_M_T,J_full_0,J_red_0,initial_flux_mismatch,J_full_T,J_red_T,M_full_T,M_red_T,B_full_T,B_red_T,Q_outer_full_T,Q_outer_red_T,max_full_balance_residual,max_full_balance_normalized,global_full_balance_error,max_reduced_balance_residual,max_reduced_balance_normalized,global_reduced_balance_error,max_reduced_robin_flux_mismatch,full_cumulative_consistency_error,reduced_cumulative_consistency_error,elapsed_seconds
time_dependent,prepared,0.08,1.0,0.001,1000,8,64,64,9216,4745,8192,4225,0.00038520423367367936,0.002250849408580592,,0.00034028848880490736,0.0022588989612680648,,0.006457667813148457,,0.0003433491071691275,0.0019317238954343957,,0.001387659393637497,0.004240655566241503,,0.7246376811594203,0.7246376811594197,5.551115123125783e-16,0.17774233055802055,0.17739898145085142,0.32722756469169717,0.3258399052980597,0.15064351909475474,0.15030323060594983,0.32753017267009615,0.3267759145176306,1.0462117283616124e-14,7.218860925709985e-15,8.326672684688674e-16,1.5226708782734022e-13,1.0694033621454086e-13,6.453171330633722e-14,1.5165646516379638e-13,5.551115123125783e-17,2.220446049250313e-16,599.3717399279994
time_dependent,prepared,0.04,1.0,0.001,1000,8,64,64,9216,4745,8192,4225,9.843080670292403e-05,0.0005681399514981276,1.968441735992549,8.69653630799494e-05,0.0005702202508801462,1.9682455309992246,0.0019326062914109372,1.7404654665255228,8.725492382549715e-05,0.0004858585172840913,1.976367761583232,0.00036617298828917066,0.0011134546227890925,1.9220562203040155,0.746268656716418,0.7462686567164151,2.886579864025407e-15,0.17958916170338007,0.17950190677955458,0.328862066576134,0.3284958935878448,0.152511881059497,0.15242491569641706,0.3316839005066363,0.33149099160959766,2.21021118074205e-14,1.4808414910858144e-14,1.3600232051658168e-15,1.369876434509365e-13,9.178190782625374e-14,6.755707104844078e-14,1.3999912340523224e-13,1.6653345369377348e-16,1.3877787807814457e-16,574.257552733
time_dependent,prepared,0.02,1.0,0.001,1000,8,64,64,9216,4745,8192,4225,2.4889152147284878e-05,0.0001427139036297346,1.9835928328950883,2.1991405528165586e-05,0.00014324176995563905,1.9835010993366293,0.0005528330056416078,1.8056321068672514,2.200556063369774e-05,0.00012184989157497503,1.9873684177859752,9.410589294578386e-05,0.00028532625439047724,1.9601683978853308,0.7575757575757576,0.7575757575757576,0.0,0.18059565215253046,0.18057364659189676,0.32981855506713104,0.32972444917418525,0.15352648557034843,0.15350449416482026,0.33393844898135533,0.33388964966952184,1.872807464664561e-14,1.2360529266805405e-14,1.6653345369377348e-16,1.5082379789532752e-13,1.0741547798999841e-13,7.116529587847253e-14,1.4921397450962104e-13,1.1102230246251565e-16,1.1102230246251565e-16,574.8345086130003
time_dependent,prepared,0.01,1.0,0.001,1000,8,64,64,9216,4745,8192,4225,6.258457693759291e-06,3.57633351772458e-05,1.991638010755558,5.529983511803893e-06,3.5896255169032696e-05,1.9915927295075395,0.00015202470339687466,1.8625379763321166,5.526282911949565e-06,3.0511687521411462e-05,1.9934868012803424,2.385722647885169e-05,7.222146947368348e-05,1.9798587355661514,0.7633587786259542,0.7633587786259431,1.1102230246251565e-14,0.1811201988769555,0.18111467259404354,0.3303342711344988,0.33031041390801996,0.15405460780696,0.1540490778234482,0.3351117851901947,0.3350995118992835,1.0293849106446373e-14,6.742471164717762e-15,2.0261570199409107e-15,1.8204882046291004e-13,1.2034042628168653e-13,8.670841822322473e-14,1.8118839761882555e-13,5.551115123125783e-17,2.220446049250313e-16,566.1830286539998
