x,y,c_red
0.0,1.0,0.2815898411118238
0.0,0.984375,0.2815933176782697
0.015625,1.0,0.2787335872563766
0.0,0.96875,0.28159358865558864
0.015625,0.984375,0.2787343601627136
0.03125,1.0,0.27580758881169537
0.0,0.953125,0.28159364487861743
0.015625,0.96875,0.2787346985923939
0.03125,0.984375,0.27580775601272456
0.046875,1.0,0.27281376952157876
0.0,0.9375,0.2815936670434347
0.015625,0.953125,0.2787348398273901
0.03125,0.96875,0.2758079245393956
0.046875,0.984375,0.27281378462590994
0.0625,1.0,0.2697531624692851
0.0,0.921875,0.2815936774124921
0.015625,0.9375,0.2787349034138386
0.03125,0.953125,0.27580803120761804
0.046875,0.96875,0.2728138463962232
0.0625,0.984375,0.26975313231338605
0.078125,1.0,0.266626603399295
0.0,0.90625,0.28159368242386107
0.015625,0.921875,0.27873493380274506
0.03125,0.9375,0.27580809174938525
0.046875,0.953125,0.2728139027414497
0.0625,0.96875,0.2697531394043318
0.078125,0.984375,0.26662655642792255
0.09375,1.0,0.263434887301824
0.0,0.890625,0.28159368472607055
0.015625,0.90625,0.27873494856447995
0.03125,0.921875,0.27580812458026455
0.046875,0.9375,0.2728139418089072
0.0625,0.953125,0.26975315726644067
0.078125,0.96875,0.2666265353136034
0.09375,0.984375,0.26343483239018106
0.109375,1.0,0.26017880735843274
0.0,0.875,0.2815936855605047
0.015625,0.890625,0.27873495534198484
0.03125,0.90625,0.27580814144571547
0.046875,0.921875,0.27281396532854374
0.0625,0.9375,0.26975317312069114
0.078125,0.953125,0.26662652746766136
0.09375,0.96875,0.2634347956643817
0.109375,0.984375,0.2601787478097587
0.125,1.0,0.25685916589210245
0.0,0.859375,0.2815936855588765
0.015625,0.875,0.2787349577691084
0.03125,0.890625,0.27580814906293677
0.046875,0.90625,0.27281397757647996
0.0625,0.921875,0.26975318304753887
0.078125,0.9375,0.26662652402474196
0.09375,0.953125,0.26343477097781426
0.109375,0.96875,0.2601787016279954
0.125,0.984375,0.2568591031585124
0.140625,1.0,0.2534767778732857
0.0,0.84375,0.281593685063938
0.015625,0.859375,0.27873495770878287
0.03125,0.875,0.2758081512191764
0.046875,0.890625,0.2728139822443362
0.0625,0.90625,0.26975318698351425
0.078125,0.921875,0.26662652042010376
0.09375,0.9375,0.26343475280350953
0.109375,0.953125,0.26017866563385755
0.125,0.96875,0.25685905071130755
0.140625,0.984375,0.2534767126881844
0.15625,1.0,0.25003247215804847
0.0,0.828125,0.2815936842714614
0.015625,0.84375,0.27873495617696425
0.03125,0.859375,0.27580815008418347
0.046875,0.875,0.27281398195942264
0.0625,0.890625,0.26975318607364057
0.078125,0.90625,0.26662651489830064
0.09375,0.921875,0.2634347374238922
0.109375,0.9375,0.26017863645029327
0.125,0.953125,0.25685900679546725
0.140625,0.96875,0.25347665574335126
0.15625,0.984375,0.250032404934754
0.171875,1.0,0.24652709192559286
0.0,0.8125,0.28159368329794476
0.015625,0.828125,0.27873495375610524
0.03125,0.84375,0.27580814693338856
0.046875,0.859375,0.27281397847461153
0.0625,0.875,0.2697531815948193
0.078125,0.890625,0.2666265071341236
0.09375,0.90625,0.26343472277100694
0.109375,0.921875,0.26017861136752835
0.125,0.9375,0.25685896931961083
0.140625,0.953125,0.25347660600793365
0.15625,0.96875,0.2500323445370556
0.171875,0.984375,0.2465270229182593
0.1875,1.0,0.24296149479045678
0.0,0.796875,0.2815936822149853
0.015625,0.8125,0.2787349507937624
0.03125,0.828125,0.27580814253717284
0.046875,0.84375,0.27281397293523024
0.0625,0.859375,0.26975317461574194
0.078125,0.875,0.2666264973938645
0.09375,0.890625,0.2634347078882327
0.109375,0.90625,0.2601785885438676
0.125,0.921875,0.2568589363816017
0.140625,0.9375,0.25347656215111963
0.15625,0.953125,0.25003229032504043
0.171875,0.96875,0.24652695972237548
0.1875,0.984375,0.24296142416704636
0.203125,1.0,0.23933655276526225
0.0,0.78125,0.2815936810676835
0.015625,0.796875,0.27873494750397615
0.03125,0.8125,0.27580813737268234
0.046875,0.828125,0.2728139660875885
0.0625,0.84375,0.26975316594283705
0.078125,0.859375,0.266626486115843
0.09375,0.875,0.26343469245066825
0.109375,0.890625,0.2601785668711206
0.125,0.90625,0.2568589065010114
0.140625,0.921875,0.2534765228463989
0.15625,0.9375,0.2500322414245273
0.171875,0.953125,0.24652690192120946
0.1875,0.96875,0.2429613586051683
0.203125,0.984375,0.2393364806438689
0.21875,1.0,0.23565315214731672
0.0,0.765625,0.28159367988495254
0.015625,0.78125,0.27873494402178134
0.03125,0.796875,0.2758081317418367
0.046875,0.8125,0.27281395842029577
0.0625,0.828125,0.26975315615684686
0.078125,0.84375,0.2666264737308229
0.09375,0.859375,0.26343467644574686
0.109375,0.875,0.2601785457526573
0.125,0.890625,0.25685887864028867
0.140625,0.90625,0.25347648695379194
0.15625,0.921875,0.2500321969027214
0.171875,0.9375,0.24652684892176943
0.1875,0.953125,0.2429612978219892
0.203125,0.96875,0.23933641301487313
0.21875,0.984375,0.23565307861563262
