x,y,c_red
0.0,1.0,0.2722246114911593
0.0,0.9921875,0.27222591598004836
0.0078125,1.0,0.2708518681150467
0.0,0.984375,0.27222641982810014
0.0078125,0.9921875,0.27085220808662985
0.015625,1.0,0.26946189620344707
0.0,0.9765625,0.27222667298042164
0.0078125,0.984375,0.27085251254849874
0.015625,0.9921875,0.2694620011703415
0.0234375,1.0,0.2680552505636727
0.0,0.96875,0.27222682577266544
0.0078125,0.9765625,0.2708527258442396
0.015625,0.984375,0.26946216188514116
0.0234375,0.9921875,0.2680552889519458
0.03125,1.0,0.26663215016650066
0.0,0.9609375,0.27222692873916227
0.0078125,0.96875,0.2708528738309471
0.015625,0.9765625,0.26946230945476907
0.0234375,0.984375,0.26805537480330444
0.03125,0.9921875,0.2666321657011614
0.0390625,1.0,0.2651927275371605
0.0,0.953125,0.2722270028957188
0.0078125,0.9609375,0.2708529798026915
0.015625,0.96875,0.26946242933307374
0.0234375,0.9765625,0.2680554711842812
0.03125,0.984375,0.2666322136173555
0.0390625,0.9921875,0.2651927334853948
0.046875,1.0,0.2637370896632232
0.0,0.9453125,0.2722270586585326
0.0078125,0.953125,0.2708530583834784
0.015625,0.9609375,0.26946252367968737
0.0234375,0.96875,0.26805556078742904
0.03125,0.9765625,0.26663227611137746
0.0390625,0.984375,0.26519276126717717
0.046875,0.9921875,0.26373709083333147
0.0546875,1.0,0.26226533490583587
0.0,0.9375,0.27222710188168037
0.0078125,0.9453125,0.2708531184205297
0.015625,0.953125,0.26946259783272564
0.0234375,0.9609375,0.2680556381651458
0.03125,0.96875,0.2666323408816199
0.0390625,0.9765625,0.2651928021720807
0.046875,0.984375,0.26373710718939714
0.0546875,0.9921875,0.26226533336211794
0.0625,1.0,0.2607775584816619
0.0,0.9296875,0.27222713615290556
0.0078125,0.9375,0.27085316541160054
0.015625,0.9453125,0.26946265664261193
0.0234375,0.953125,0.26805570303554555
0.03125,0.9609375,0.26663240156768797
0.0390625,0.96875,0.26519284846592095
0.046875,0.9765625,0.263737134236878
0.0546875,0.984375,0.262265342785982
0.0625,0.9921875,0.2607775552426824
0.0703125,1.0,0.2592738545484788
0.0,0.921875,0.27222716381015344
0.0078125,0.9296875,0.2708532029130286
0.015625,0.9375,0.2694627038424073
0.0234375,0.9453125,0.26805575688164857
0.03125,0.953125,0.2666324556685247
0.0390625,0.9609375,0.2651928949577495
0.046875,0.96875,0.2637371672424676
0.0546875,0.9765625,0.2622653607076914
0.0625,0.984375,0.26077756020348564
0.0703125,0.9921875,0.259273850172584
0.078125,1.0,0.25775431711981356
0.0,0.9140625,0.27222718644810007
0.0078125,0.921875,0.27085323331694305
0.015625,0.9296875,0.269462742179623
0.0234375,0.9375,0.26805580153979475
0.03125,0.9453125,0.2666325027112542
0.0390625,0.953125,0.26519293875864064
0.046875,0.9609375,0.26373720242617893
0.0546875,0.96875,0.2622653842030154
0.0625,0.9765625,0.26077757192255413
0.0703125,0.984375,0.2592738521115271
0.078125,0.9921875,0.25775431193796644
0.0859375,1.0,0.25621904051391753
0.0,0.90625,0.27222720519375715
