scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
constant,prepared,0.08,0.0005,0.0,0.7246376811594207,0.7246376811594203,0.0,0.0,0.0,0.0,0.3623188405797006,0.08751662815935032
constant,prepared,0.08,0.0005,0.0005,0.7200483990843917,0.724637681160676,2.7979658520638218e-12,1.9305964379169643e-12,-2.60647059491248e-12,0.00036002419954219583,0.362316545938682,0.08751500242858566
constant,prepared,0.08,0.0005,0.001,0.7160768394735262,0.7246376811606883,2.76307969560019e-12,1.90652498995716e-12,-2.603917081955842e-12,0.000718062619278959,0.36231226551782475,0.0875119887131999
constant,prepared,0.08,0.0005,0.0015,0.7124848212930948,0.7246376811607089,2.740120630395637e-12,1.890683234966053e-12,-2.6114665985232932e-12,0.0010743050299255063,0.3623061890878798,0.0875077331996599
constant,prepared,0.08,0.0005,0.002,0.709165404330547,0.7246376811607099,2.7443429473361647e-12,1.893596633654998e-12,-2.631894702176396e-12,0.0014288877320907797,0.36229845294945995,0.08750234095373143
constant,prepared,0.08,0.0005,0.0025,0.7060572454816767,0.7246376811607105,2.74156392032765e-12,1.8916791050191318e-12,-2.638778084929072e-12,0.001781916354831618,0.36228916273161965,0.08749589344808084
constant,prepared,0.08,0.0005,0.003,0.703120501029982,0.7246376811607159,2.697408268970136e-12,1.861211705582602e-12,-2.6246782525163326e-12,0.0021334766053466092,0.36227840414156404,0.08748845682759566
constant,prepared,0.08,0.0005,0.0035,0.7003272310260723,0.7246376811607099,2.711043195491314e-12,1.8706198048821786e-12,-2.6539881403664367e-12,0.0024836402208596453,0.36226624891650594,0.08748008648621194
constant,prepared,0.08,0.0005,0.004,0.69765678907356,0.7246376811607094,2.7440376360043928e-12,1.893385968836078e-12,-2.6730839763899894e-12,0.002832468615396425,0.36225275847045996,0.08747082987145215
constant,prepared,0.08,0.0005,0.0045000000000000005,0.6950933232979168,0.7246376811607148,2.7144293757164206e-12,1.872956269237476e-12,-2.6723068202727518e-12,0.0031800152770453836,0.36223798629152615,0.08746072832827102
constant,prepared,0.08,0.0005,0.005,0.6926243015609254,0.7246376811607025,2.7111646261346323e-12,1.8707035920260865e-12,-2.6847413181485535e-12,0.0035263274278258465,0.3622219796017127,0.08744981837586875
constant,prepared,0.08,0.0005,0.0055,0.6902395841588939,0.7246376811606859,2.7080074294083545e-12,1.8685251262850097e-12,-2.681188604469753e-12,0.0038714472199052933,0.36220478055321137,0.08743813262797373
constant,prepared,0.08,0.0005,0.006,0.687930811323451,0.7246376811606673,2.722169711866229e-12,1.8782971011809378e-12,-2.7168267635602206e-12,0.004215412625567019,0.3621864271182597,0.08742570047760542
constant,prepared,0.08,0.0005,0.006500000000000001,0.685690982377581,0.7246376811605866,2.696738665708409e-12,1.860749679332345e-12,-2.678635091513115e-12,0.00455825811675581,0.3621669537688842,0.08741254861999946
constant,prepared,0.08,0.0005,0.007,0.683514157071248,0.7246376811604371,2.722475023198001e-12,1.878507766000456e-12,-2.7217117448685713e-12,0.004900015195291434,0.36214639200684384,0.08739870146066671
constant,prepared,0.08,0.0005,0.0075,0.681395237818302,0.7246376811600659,2.7048571715759806e-12,1.8663514483822803e-12,-2.6931790131357047e-12,0.005240712814200585,0.3621247707851615,0.08738418143971619
constant,prepared,0.08,0.0005,0.008,0.6793298072355459,0.7246376811593382,2.704156343291686e-12,1.865867876867993e-12,-2.71238587146172e-12,0.005580377717818358,0.3621021168482095,0.08736900929365357
constant,prepared,0.08,0.0005,0.0085,0.6773140045244898,0.7246376811578291,2.708264168482799e-12,1.8687022762537425e-12,-2.695843548394805e-12,0.005919034720080603,0.36207845500990904,0.08735320426967572
constant,prepared,0.08,0.0005,0.009000000000000001,0.6753444297810799,0.7246376811549496,2.7110605427260737e-12,1.8706317744890325e-12,-2.7249313916399842e-12,0.006256706934971143,0.36205380838421963,0.08733678430310894
constant,prepared,0.08,0.0005,0.0095,0.6734180687995843,0.7246376811495818,2.7160981797003103e-12,1.8741077440151466e-12,-2.7161606297454455e-12,0.006593415969370935,0.36202819857804464,0.08731976616592863
constant,prepared,0.08,0.0005,0.01,0.6715322331879744,0.7246376811398975,2.706619650627573e-12,1.8675675589798526e-12,-2.7079449793632193e-12,0.0069291820859649226,0.3620016458540668,0.08730216559225569
constant,prepared,0.08,0.0005,0.0105,0.6696845121063957,0.7246376811230071,2.723286873784758e-12,1.879067943002376e-12,-2.7353674880714607e-12,0.00726402434201812,0.3619741692695558,0.0872839973852446
constant,prepared,0.08,0.0005,0.011,0.6678727329553059,0.7246376810943067,2.715383473628208e-12,1.87361459696831e-12,-2.7166047189552955e-12,0.007597960708495773,0.3619457867954842,0.0872652755088841
constant,prepared,0.08,0.0005,0.0115,0.666094929043418,0.7246376810469378,2.7046490047588634e-12,1.8662078135698167e-12,-2.7181590311897708e-12,0.007931008173017482,0.3619165154194834,0.08724601316730955
constant,prepared,0.08,0.0005,0.012,0.6643493127625459,0.7246376809706209,2.70279632008652e-12,1.8649294613421155e-12,-2.7023938642400935e-12,0.008263182829398755,0.3618863712353768,0.0872262228738346
constant,prepared,0.08,0.0005,0.0125,0.6626342531531122,0.7246376808505166,2.7138291613937326e-12,1.8725421221564096e-12,-2.7101654254124696e-12,0.008594499955975311,0.36185536952152914,0.0872059165113067
constant,prepared,0.08,0.0005,0.013000000000000001,0.6609482570041127,0.7246376806655783,2.7174373862237644e-12,1.8750317977687196e-12,-2.723599124010434e-12,0.008924974084477368,0.361823524809691,0.08718510538521695
constant,prepared,0.08,0.0005,0.0135,0.6592899528233915,0.724637680386491,2.707514767941177e-12,1.8681851918686078e-12,-2.708500090875532e-12,0.009254619060889063,0.3617908509459101,0.08716380027061141
constant,prepared,0.08,0.0005,0.014,0.6576580771578555,0.7246376799732357,2.7265412150256907e-12,1.8813134414437748e-12,-2.7204904995414836e-12,0.00958344809946799,0.3617573611445033,0.08714201145375643
constant,prepared,0.08,0.0005,0.0145,0.6560514628519635,0.7246376793721263,2.711789126585984e-12,1.8711345019559167e-12,-2.71282996067157e-12,0.009911473830893972,0.36172306803623894,0.08711974876927708
