scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
time_dependent,prepared,0.01,0.001,0.0,0.7633587786259431,0.7633587786259542,0.0,0.0,0.0,0.0,0.38167938931297923,0.09711943748421717
time_dependent,prepared,0.01,0.001,0.001,0.743717378875444,0.7633587786259904,1.35304961679239e-13,8.862474989988948e-14,-1.4166445794216997e-13,0.000743717378875444,0.3816597479132337,0.09710491651776201
time_dependent,prepared,0.01,0.001,0.002,0.7321338870036286,0.7633587786259831,1.1469991623158649e-13,7.512844513168065e-14,-1.1002310174035301e-13,0.0014758512658790725,0.38162852302160866,0.09708208021201745
time_dependent,prepared,0.01,0.001,0.003,0.7232634373317886,0.7633587786259102,1.2299189444675562e-13,8.055969086262309e-14,-1.155742168634788e-13,0.002199114703210861,0.38158842768031076,0.09705302041830961
time_dependent,prepared,0.01,0.001,0.004,0.7158292558977318,0.7633587786254573,1.16830156660086e-13,7.652375261240029e-14,-1.2145839889399213e-13,0.0029149439591085926,0.3815408981575806,0.0970188456753673
time_dependent,prepared,0.01,0.001,0.005,0.7093130469761911,0.7633587786233477,1.1686485112960554e-13,7.654647749014713e-14,-1.1302070390684094e-13,0.003624257006084784,0.3814868524259357,0.09698026517375624
time_dependent,prepared,0.01,0.001,0.006,0.7034471992721829,0.7633587786153944,1.140476602046192e-13,7.470121743505337e-14,-1.1868284133242923e-13,0.004327704205356967,0.381426940846594,0.09693778181573305
time_dependent,prepared,0.01,0.001,0.007,0.6980729748080656,0.7633587785895259,8.293365993949919e-14,5.4321547262961294e-14,-8.37108160567368e-14,0.005025777180165033,0.38136165504280845,0.0968917760840363
time_dependent,prepared,0.01,0.001,0.008,0.6930872772686097,0.7633587785153841,1.159627949220976e-13,7.595563068497009e-14,-1.1735057370287905e-13,0.005718864457433642,0.3812913835415649,0.09684254891591712
time_dependent,prepared,0.01,0.001,0.009000000000000001,0.6884187304747698,0.763358778324082,1.2116696535002802e-13,7.936436233564688e-14,-1.1646239528317892e-13,0.006407283187908412,0.3812164434937144,0.09679034615127904
time_dependent,prepared,0.01,0.001,0.01,0.6840155187433491,0.7633587778726132,9.577061366172757e-14,6.272975201033415e-14,-9.603429163007604e-14,0.007091298706651761,0.3811371002345849,0.09673537361292121
time_dependent,prepared,0.01,0.001,0.011,0.679838624173753,0.7633587768860197,1.234429225505096e-13,8.085511445487145e-14,-1.219024881038422e-13,0.007771137330825514,0.38105358008187057,0.09667780697574636
time_dependent,prepared,0.01,0.001,0.012,0.675857798247078,0.7633587748697296,8.258671524430383e-14,5.4094298751195424e-14,-8.049116928532385e-14,0.008446995129072592,0.38096607910524743,0.09661779853125022
time_dependent,prepared,0.01,0.001,0.013000000000000001,0.6720490286931299,0.7633587709846679,1.6812939929167214e-13,1.1012475763839133e-13,-1.6797674362578618e-13,0.009119044157765722,0.38087476936295617,0.09655548199935886
time_dependent,prepared,0.01,0.001,0.014,0.6683928752547735,0.7633587638785679,1.1744771821753375e-13,7.692825691866152e-14,-1.1468603844377867e-13,0.009787437033020496,0.3807798034743331,0.09649097605712989
time_dependent,prepared,0.01,0.001,0.015,0.6648733359924922,0.7633587514695579,1.1479706074624119e-13,7.51920774637314e-14,-1.1646239528317892e-13,0.010452310369012988,0.3806813180588579,0.09642438699320117
time_dependent,prepared,0.01,0.001,0.016,0.66147705113486,0.7633587306802927,1.2063960941333107e-13,7.901894912881228e-14,-1.1790568521519162e-13,0.011113787420147847,0.38057943637930924,0.09635581074817547
time_dependent,prepared,0.01,0.001,0.017,0.6581927292827381,0.7633586971247517,1.4595269437478464e-13,9.559902502225529e-14,-1.474376176702208e-13,0.011771980149430586,0.3804742704114697,0.09628533451233957
time_dependent,prepared,0.01,0.001,0.018000000000000002,0.6550107245079215,0.7633586447527941,1.4176160245682468e-13,9.285386589335053e-14,-1.389999226830696e-13,0.012426990873938507,0.38036592249122414,0.09621303799707631
time_dependent,prepared,0.01,0.001,0.019,0.6519227185255203,0.7633585654613154,1.5390466678866233e-13,1.0080758489664593e-13,-1.5087930904655877e-13,0.013078913592464027,0.38025448664428707,0.09613899446099305
time_dependent,prepared,0.01,0.001,0.02,0.6489214777005677,0.7633584486826168,1.2302658891627516e-13,8.058245056996564e-14,-1.2256862191861728e-13,0.013727835070164595,0.38014004967330545,0.09606327154847438
time_dependent,prepared,0.01,0.001,0.021,0.646000664422452,0.7633582809632853,1.0133560657266116e-13,6.637486557739216e-14,-1.0325074129013956e-13,0.014373835734587047,0.38002269205676326,0.09598593198260934
time_dependent,prepared,0.01,0.001,0.022,0.6431546886819975,0.7633580455469563,1.4260814751310136e-13,9.340842632431244e-14,-1.4310774787418268e-13,0.015016990423269044,0.3799024886998979,0.09590703414350356
time_dependent,prepared,0.01,0.001,0.023,0.6403785898501144,0.7633577219748738,1.4856171848265376e-13,9.730806030120257e-14,-1.496580637194711e-13,0.01565736901311916,0.3797795095677755,0.09582663255527976
time_dependent,prepared,0.01,0.001,0.024,0.6376679414708002,0.7633572857171806,1.4666046155298318e-13,9.606279018820155e-14,-1.503241975342462e-13,0.016295036954589958,0.3796538202235289,0.09574477829952775
time_dependent,prepared,0.01,0.001,0.025,0.6350187738179243,0.7633567078462,1.0513812043200232e-13,6.886565569630008e-14,-1.056932319443149e-13,0.016930055728407882,0.37952548228950117,0.09566151936891872
time_dependent,prepared,0.01,0.001,0.026000000000000002,0.632427510325392,0.7633559547614109,8.801293027715928e-14,5.764868258914866e-14,-8.559819519859957e-14,0.017562483238733273,0.37939455384506193,0.09557690097169047
time_dependent,prepared,0.01,0.001,0.027,0.6298909149682028,0.7633549879730326,1.0816347817410588e-13,7.084743001503736e-14,-1.0680345496894006e-13,0.018192374153701476,0.3792610897720584,0.09549096579545255
time_dependent,prepared,0.01,0.001,0.028,0.6274060483731645,0.7633537639492832,1.3869461135129768e-13,9.084556722019377e-14,-1.3533618670180658e-13,0.01881978020207464,0.37912514205648296,0.09540375423706988
time_dependent,prepared,0.01,0.001,0.029,0.6249702309512548,0.7633522340296842,1.2792544801243366e-13,8.379188683126875e-14,-1.2889689315898067e-13,0.019444750433025893,0.3789867600534034,0.09531530460402643
time_dependent,prepared,0.01,0.001,0.03,0.6225810117255143,0.7633503444046761,1.1818324097134791e-13,7.741087813584984e-14,-1.1601830607332886e-13,0.020067331444751407,0.37884599072072467,0.09522565329168281
time_dependent,prepared,0.01,0.001,0.031,0.6202361418139422,0.7633480361599013,1.519617764955683e-13,9.953636434306695e-14,-1.5010215292932116e-13,0.02068756758656535,0.3787028788263787,0.09513483494002217
time_dependent,prepared,0.01,0.001,0.032,0.617933551744756,0.763345245381935,1.3092305017892159e-13,8.575611819878686e-14,-1.3133938381315602e-13,0.021305501138310104,0.3785574671327407,0.09504288257283823
time_dependent,prepared,0.01,0.001,0.033,0.615671331948276,0.7633419033207094,1.349753642188034e-13,8.84108180303074e-14,-1.3378187446733136e-13,0.02192117247025838,0.3784097965613691,0.0949498277218299
time_dependent,prepared,0.01,0.001,0.034,0.6134477158968547,0.7633379366032254,1.2909118218829008e-13,8.45570329982036e-14,-1.2889689315898067e-13,0.022534620186155235,0.37825990634066203,0.09485570053764167
time_dependent,prepared,0.01,0.001,0.035,0.6112610654674415,0.7633332674920199,1.6092682741941644e-13,1.0541059473808526e-13,-1.6209256159527285e-13,0.023145881251622678,0.3781078341386363,0.0947605298895732
time_dependent,prepared,0.01,0.001,0.036000000000000004,0.6091098581773735,0.7633278141820093,1.2195799925507345e-13,7.988572995060797e-14,-1.2179146580137967e-13,0.02375499110980005,0.3779536161826326,0.09466434345540112
time_dependent,prepared,0.01,0.001,0.037,0.6069926760095883,0.7633214911287272,1.2254086634300165e-13,8.026818828446062e-14,-1.234568003383174e-13,0.02436198378580964,0.3777972873675132,0.09456716780254923
time_dependent,prepared,0.01,0.001,0.038,0.6049081955903702,0.7633142094013621,1.1518563880486e-13,7.545099867536002e-14,-1.1601830607332886e-13,0.02496689198140001,0.37763888135370194,0.09446902846164532
time_dependent,prepared,0.01,0.001,0.039,0.6028551795259414,0.7633058770539458,1.586786257945505e-13,1.0394170316555782e-13,-1.538769112130467e-13,0.025569747160925953,0.37747843065617404,0.09436994999336538
time_dependent,prepared,0.01,0.001,0.04,0.6008324687338574,0.7632963995088664,1.3725132141928498e-13,8.990696242480987e-14,-1.368904989362818e-13,0.02617057962965981,0.37731596672539935,0.09426995604933676
time_dependent,prepared,0.01,0.001,0.041,0.5988389756340017,0.7632856799467266,1.1474154959500993e-13,7.516291253034491e-14,-1.1757261830780408e-13,0.02676941860529381,0.37715152002108476,0.09416906942775972
time_dependent,prepared,0.01,0.001,0.042,0.5968736780832083,0.7632736196978214,1.1821099654696354e-13,7.743684145258021e-14,-1.177946629127291e-13,0.02736629228337702,0.37698512007947116,0.09406731212432431
time_dependent,prepared,0.01,0.001,0.043000000000000003,0.594935613957112,0.7632601186303772,1.4019341243454164e-13,9.183855478136151e-14,-1.417754802446325e-13,0.027961227897334132,0.3768167955747979,0.09396470537893019
time_dependent,prepared,0.01,0.001,0.044,0.5930238762966137,0.7632450755317545,1.5568102362806258e-13,1.019862614374442e-13,-1.5165646516379638e-13,0.028554251773630746,0.3766465743755625,0.09386126971863508
time_dependent,prepared,0.01,0.001,0.045,0.5911376089485144,0.7632283884792177,1.4752088439706768e-13,9.664268692297885e-14,-1.5143442055887135e-13,0.02914538938257926,0.3764744835960318,0.09375702499722582
time_dependent,prepared,0.01,0.001,0.046,0.5892760026400686,0.7632099551974351,1.368904989362818e-13,8.968076084703145e-14,-1.3278267374516872e-13,0.02973466538521933,0.3763005496434748,0.09365199043173894
time_dependent,prepared,0.01,0.001,0.047,0.5874382914361208,0.7631896734003488,1.3347656313555945e-13,8.744652069311318e-14,-1.3244960683778118e-13,0.03032210367665545,0.37612479826150796,0.09354618463623052
