resolution,mesh_size,num_cells,L2_error,rate
8,0.125,128,0.0030294756589147836,
16,0.0625,512,0.0007547513218959216,2.0049948302781515
32,0.03125,2048,0.00018551164802667805,2.0244916039541794
64,0.015625,8192,4.3237799885704005e-05,2.1011447546810196
