scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
constant,prepared,0.01,0.0005,0.0,0.7633587786259431,0.7633587786259542,0.0,0.0,0.0,0.0,0.38167938931297923,0.09711943748421717
constant,prepared,0.01,0.0005,0.0005,0.7503735808430244,0.7633587786267301,1.5286227145194786e-12,1.0012478780082382e-12,-1.528444038001453e-12,0.0003751867904215122,0.3816728967140908,0.09711459042048275
constant,prepared,0.01,0.0005,0.001,0.7423884698793374,0.7633587786267341,1.5317677681814246e-12,1.0033078881568013e-12,-1.5253354135325026e-12,0.0007463810253611809,0.3816624115597176,0.09710682058759552
constant,prepared,0.01,0.0005,0.0015,0.7361908433761529,0.7633587786267171,1.5202561431948425e-12,9.957677737906351e-13,-1.5193402091995267e-12,0.0011144764470492573,0.3816488275920944,0.09709681633712572
constant,prepared,0.01,0.0005,0.002,0.7309631677094481,0.7633587786267241,1.5250231633068267e-12,9.988901719639663e-13,-1.5225598559709397e-12,0.0014799580309039814,0.3816326297866357,0.09708495139984179
constant,prepared,0.01,0.0005,0.0025,0.7263633538612961,0.7633587786267226,1.5183340695834602e-12,9.945088155751763e-13,-1.5167866962428889e-12,0.0018431397078346294,0.3816141320742486,0.09707146782586389
constant,prepared,0.01,0.0005,0.003,0.7222114299105509,0.7633587786267115,1.5248288742775173e-12,9.987629126497855e-13,-1.5225598559709397e-12,0.0022042454227899047,0.38159355839988973,0.09705653837305735
constant,prepared,0.01,0.0005,0.0035,0.7183994278514568,0.7633587786267184,1.5384984952682146e-12,1.0077165143986563e-12,-1.5423218258092675e-12,0.0025634451367156333,0.38157107872450136,0.09704029422042257
constant,prepared,0.01,0.0005,0.004,0.7148567154084465,0.7633587786267091,1.5186185642335204e-12,9.946951595709828e-13,-1.517896919267514e-12,0.0029208734944198567,0.38154682769289006,0.09702283934006749
constant,prepared,0.01,0.0005,0.0045000000000000005,0.7115341504658388,0.7633587786267064,1.518195291705382e-12,9.944179160650563e-13,-1.5190071422921392e-12,0.0032766405696527763,0.38152091537880767,0.09700425877068751
constant,prepared,0.01,0.0005,0.005,0.7083959326271447,0.7633587786267021,1.5242668238713009e-12,9.98394769633727e-13,-1.5248913243226525e-12,0.0036308385359663485,0.38149343395580676,0.09698462375467315
constant,prepared,0.01,0.0005,0.0055,0.7054150337273697,0.7633587786266836,1.5185283586127696e-12,9.946360748894244e-13,-1.5143442055887135e-12,0.003983546052830033,0.3814644620833547,0.09696399511623417
constant,prepared,0.01,0.0005,0.006,0.7025704591032046,0.763358778626625,1.5010839793383468e-12,9.832100064647863e-13,-1.500688462385824e-12,0.004334831282381635,0.3814340679235876,0.09694242558516862
constant,prepared,0.01,0.0005,0.006500000000000001,0.6998455172775137,0.7633587786265078,1.5233370120881773e-12,9.977857429160368e-13,-1.52433621281034e-12,0.004684754041020392,0.3814023112929137,0.09691996145443543
constant,prepared,0.01,0.0005,0.007,0.697226678923227,0.7633587786262125,1.5202838987704581e-12,9.957859536933215e-13,-1.5157874955207262e-12,0.005033367380482006,0.38136924524305915,0.09689664379836899
constant,prepared,0.01,0.0005,0.0075,0.6947027972403077,0.763358778625571,1.529346094208961e-12,1.001721691706369e-12,-1.5283330156989905e-12,0.005380718779102159,0.38133491725236923,0.09687250939066411
constant,prepared,0.01,0.0005,0.008,0.6922645591086606,0.7633587786241878,1.5038109646425823e-12,9.849961818422007e-13,-1.5037970868547745e-12,0.005726851058656489,0.38129937014260684,0.0968475914110057
constant,prepared,0.01,0.0005,0.0085,0.6899040887152231,0.7633587786214272,1.5332179970073412e-12,1.0042577880447555e-12,-1.5374368445009168e-12,0.0060718031030141005,0.3812626427976536,0.09682191999899945
constant,prepared,0.01,0.0005,0.009000000000000001,0.6876146549131219,0.7633587786159945,1.5121653929028867e-12,9.904683323633326e-13,-1.5114576257246881e-12,0.006415610430470661,0.3812247707358023,0.09679552269540546
constant,prepared,0.01,0.0005,0.0095,0.6853904509668736,0.7633587786058383,1.5354245652687837e-12,1.005703090276544e-12,-1.535105376149204e-12,0.006758305655954098,0.38118578657198326,0.09676842479850636
constant,prepared,0.01,0.0005,0.01,0.6832264259454203,0.7633587785874429,1.5203532877094972e-12,9.958314034989683e-13,-1.5188961199896767e-12,0.007099918868926808,0.38114572039566025,0.09674064965551925
constant,prepared,0.01,0.0005,0.0105,0.6811181536967079,0.7633587785552111,1.5261542030131636e-12,9.996310030652622e-13,-1.5271117703719028e-12,0.007440477945775162,0.3811046000832331,0.09671221890351903
constant,prepared,0.01,0.0005,0.011,0.6790617296503186,0.763358778500373,1.5257656249545448e-12,9.993764845086367e-13,-1.5287771049088406e-12,0.007780008810600322,0.3810624515588058,0.0966831526706065
constant,prepared,0.01,0.0005,0.0115,0.6770536885509914,0.7633587784096127,1.519173675745833e-12,9.950587578945373e-13,-1.5162315847305763e-12,0.008118535654875818,0.3810192990138741,0.09665346974535302
constant,prepared,0.01,0.0005,0.012,0.6750909381582441,0.763358778263231,1.5218382110049333e-12,9.968040286808865e-13,-1.521560655248777e-12,0.00845608112395494,0.38097516509382384,0.09662318772070824
constant,prepared,0.01,0.0005,0.0125,0.6731707052819416,0.7633587780326776,1.5044215873061262e-12,9.853961404503838e-13,-1.5045742429720121e-12,0.008792666476595911,0.3809300710574466,0.09659232311709796
constant,prepared,0.01,0.0005,0.013000000000000001,0.6712904914596307,0.7633587776775711,1.5140527720447494e-12,9.91704566920403e-13,-1.5150103394034886e-12,0.009128311722325727,0.38088403691433637,0.09656089148843731
constant,prepared,0.01,0.0005,0.0135,0.6694480362506736,0.7633587771418509,1.5159679067622278e-12,9.929589808587596e-13,-1.518118963872439e-12,0.009463035740451063,0.38083708154389073,0.09652890751399384
constant,prepared,0.01,0.0005,0.014,0.6676412866061087,0.7633587763491979,1.5177026302382046e-12,9.940952257699753e-13,-1.5216716775512396e-12,0.009796856383754118,0.3807892227990184,0.09649638507843729
