x,y,c_red
0.0,1.0,0.2722186015667135
0.0,0.984375,0.2722235638310998
0.015625,1.0,0.26945850874087734
0.0,0.96875,0.27222524114333724
0.015625,0.984375,0.26945975382830245
0.03125,1.0,0.2666300163672368
0.0,0.953125,0.27222598545487076
0.015625,0.96875,0.2694607803675239
0.03125,0.984375,0.26663036668057744
0.046875,1.0,0.26373560290667125
0.0,0.9375,0.272226390004215
0.015625,0.953125,0.2694614420487525
0.03125,0.96875,0.2666308885256119
0.046875,0.984375,0.26373570407209224
0.0625,1.0,0.2607764716409556
0.0,0.921875,0.27222663915899187
0.015625,0.9375,0.2694618648770919
0.03125,0.953125,0.26663134141808903
0.046875,0.96875,0.2637359615856466
0.0625,0.984375,0.2607764888716095
0.078125,1.0,0.25775351123990525
0.0,0.90625,0.27222680451741854
0.015625,0.921875,0.2694621444893284
0.03125,0.9375,0.2666316867884276
0.046875,0.953125,0.2637362441530952
0.0625,0.96875,0.26077661328610435
0.078125,0.984375,0.2577534936747488
0.09375,1.0,0.25466752769777534
0.0,0.890625,0.2722269195797361
0.015625,0.90625,0.269462336477464
0.03125,0.921875,0.26663194119892475
0.046875,0.9375,0.2637364954215373
0.0625,0.953125,0.2607767818145015
0.078125,0.96875,0.25775354802955225
0.09375,0.984375,0.2546674927349953
0.109375,1.0,0.2515193076176306
0.0,0.875,0.27222700224755686
0.015625,0.890625,0.26946247254537786
0.03125,0.90625,0.2666321280663801
0.046875,0.921875,0.26373670115280623
0.0625,0.9375,0.26077695315959615
0.078125,0.953125,0.25775364377571897
0.09375,0.96875,0.25466750754505785
0.109375,0.984375,0.25151926255774104
0.125,1.0,0.24830963821343
0.0,0.859375,0.272227062993505
0.015625,0.875,0.2694625713983488
0.03125,0.890625,0.2666322664015029
0.046875,0.90625,0.2637368638439764
0.0625,0.921875,0.26077710766551243
0.078125,0.9375,0.25775375481245677
0.09375,0.953125,0.25466755658663914
0.109375,0.96875,0.25151925336047
0.125,0.984375,0.2483095865893525
0.140625,1.0,0.2450393146517712
0.0,0.84375,0.2722271083472319
0.015625,0.859375,0.26946264457107666
0.03125,0.875,0.2666323698808114
0.046875,0.890625,0.2637369907363901
0.0625,0.90625,0.26077723890007964
0.078125,0.921875,0.2577538644882847
0.09375,0.9375,0.2546676239398785
0.109375,0.953125,0.251519271605395
