x,y,c_red
0.0,1.0,0.28200027022761776
0.0,0.984375,0.28200333299021996
0.015625,1.0,0.27913782161678685
0.0,0.96875,0.2820034085671796
0.015625,0.984375,0.27913848469713964
0.03125,1.0,0.2762058118073914
0.0,0.953125,0.2820034326617008
0.015625,0.96875,0.2791387224722423
0.03125,0.984375,0.27620594456802616
0.046875,1.0,0.27320601508302195
0.0,0.9375,0.2820034428048283
0.015625,0.953125,0.27913881537435603
0.03125,0.96875,0.27620606404686815
0.046875,0.984375,0.2732060170775434
0.0625,1.0,0.27013942314216116
0.0,0.921875,0.28200344721031795
0.015625,0.9375,0.27913885462832744
0.03125,0.953125,0.2762061345051866
0.046875,0.96875,0.27320605396717784
0.0625,0.984375,0.2701393869691595
0.078125,1.0,0.2670068587893947
0.0,0.90625,0.282003449000684
0.015625,0.921875,0.2791388716860278
0.03125,0.9375,0.2762061714060636
0.046875,0.953125,0.27320608649883615
0.0625,0.96875,0.270139380511642
0.078125,0.984375,0.2670068085958635
0.09375,1.0,0.2638091126411324
0.0,0.890625,0.2820034495008012
0.015625,0.90625,0.27913887861702474
0.03125,0.921875,0.2762061890407402
0.046875,0.9375,0.2732061067443296
0.0625,0.953125,0.27013938303497254
0.078125,0.96875,0.2670067795259569
0.09375,0.984375,0.26380905579128344
0.109375,1.0,0.26054697649830516
0.0,0.875,0.282003449325658
0.015625,0.890625,0.2791388805483285
0.03125,0.90625,0.2762061959827521
0.046875,0.921875,0.27320611637668024
0.0625,0.9375,0.27013938494548706
0.078125,0.953125,0.26700676163259
0.09375,0.96875,0.2638090140621989
0.109375,0.984375,0.26054691567900734
0.125,1.0,0.2572212525075123
0.0,0.859375,0.2820034487830151
0.015625,0.875,0.27913887986178226
0.03125,0.890625,0.27620619696236126
0.046875,0.90625,0.27320611859673866
0.0625,0.921875,0.27013938337102217
0.078125,0.9375,0.2670067480785436
0.09375,0.953125,0.26380898259269436
0.109375,0.96875,0.26054686616147615
0.125,0.984375,0.2572211888849201
0.140625,1.0,0.2538327560064404
0.0,0.84375,0.28200344803654426
0.015625,0.859375,0.27913887775007384
0.03125,0.875,0.27620619457153167
0.046875,0.890625,0.27320611603175293
0.0625,0.90625,0.2701393782403608
0.078125,0.921875,0.26700673536778247
0.09375,0.9375,0.2638089570724459
0.109375,0.953125,0.26054682543310415
0.125,0.96875,0.257221134103213
0.140625,0.984375,0.2538326901668425
0.15625,1.0,0.2503823164844518
0.0,0.828125,0.2820034471775556
0.015625,0.84375,0.2791388748477794
0.03125,0.859375,0.27620619025646487
0.046875,0.875,0.2732061104905393
0.0625,0.890625,0.2701393703218641
0.078125,0.90625,0.26700672211841564
0.09375,0.921875,0.2638089346095003
0.109375,0.9375,0.2605467908440886
0.125,0.953125,0.2572210867751917
0.140625,0.96875,0.253832631521244
0.15625,0.984375,0.2503822487591149
0.171875,1.0,0.24687077789009768
0.0,0.8125,0.28200344625887813
0.015625,0.828125,0.2791388715090369
0.03125,0.84375,0.2762061848447665
0.046875,0.859375,0.2732061031452231
0.0625,0.875,0.2701393604589559
0.078125,0.890625,0.2670067080042232
0.09375,0.90625,0.2638089135701255
0.109375,0.921875,0.26054676026746687
0.125,0.9375,0.25722104525224865
0.140625,0.953125,0.25383257925335395
0.15625,0.96875,0.2503821870800345
0.171875,0.984375,0.24687070848441958
0.1875,1.0,0.24329899867684665
0.0,0.796875,0.2820034453118804
0.015625,0.8125,0.2791388679387885
0.03125,0.828125,0.276206178822045
0.046875,0.84375,0.2732060947395945
0.0625,0.859375,0.27013934934099526
0.078125,0.875,0.26700669313212744
0.09375,0.890625,0.2638088931561318
0.109375,0.90625,0.2605467322407743
0.125,0.921875,0.25722100803131903
0.140625,0.9375,0.2538325323092551
0.15625,0.953125,0.250382130938674
0.171875,0.96875,0.24687064429531133
0.1875,0.984375,0.24329892772831183
0.203125,1.0,0.23966785172940241
0.0,0.78125,0.2820034443554804
0.015625,0.796875,0.27913886425874435
0.03125,0.8125,0.2762061724793252
0.046875,0.828125,0.2732060857431693
0.0625,0.84375,0.27013933747367574
0.078125,0.859375,0.2670066777381216
0.09375,0.875,0.2638088730419712
0.109375,0.890625,0.2605467058569579
0.125,0.90625,0.25722097393067767
0.140625,0.921875,0.2538324896343861
0.15625,0.9375,0.25038207963911296
0.171875,0.953125,0.24687058498990003
0.1875,0.96875,0.2432988613776196
0.203125,0.984375,0.2396677793362483
0.21875,1.0,0.23597822422920453
0.0,0.765625,0.2820034434011329
0.015625,0.78125,0.27913886054231496
0.03125,0.796875,0.27620616599368497
0.046875,0.8125,0.2732060764523276
0.0625,0.828125,0.27013932520914063
0.078125,0.84375,0.26700666205953827
0.09375,0.859375,0.26380885313792823
0.109375,0.875,0.2605466805948873
0.125,0.890625,0.2572209421041341
0.140625,0.90625,0.2538324503138792
0.15625,0.921875,0.2503820324352392
0.171875,0.9375,0.24687053009326004
0.1875,0.953125,0.24329879939740534
0.203125,0.96875,0.23966771106746232
0.21875,0.984375,0.2359781504657326
0.234375,1.0,0.23223101748585043
0.0,0.75,0.28200344245569503
0.015625,0.765625,0.27913885683395184
0.03125,0.78125,0.27620615947366206
0.046875,0.796875,0.2732060670540501
0.0625,0.8125,0.2701393127852977
0.078125,0.828125,0.26700664629172527
0.09375,0.84375,0.263808833456225
0.109375,0.859375,0.2605466561730497
0.125,0.875,0.25722091198141395
0.140625,0.890625,0.25383241362224895
0.15625,0.90625,0.25038198862959826
0.171875,0.921875,0.24687047906908063
0.1875,0.9375,0.24329874145320263
0.203125,0.953125,0.23966764676192395
