t,J_full,J_red,Q_outer_full,Q_outer_red,M_full,M_red,mass_bulk_full,mass_coating_full,mass_red,balance_normalized_full,balance_normalized_red,robin_flux_mismatch_red
0.0,4.014418752827071,4.01460963249952,4.014418752827072,4.014609632499597,0.0,0.0,0.44334193351097867,0.015552495138123183,0.45516111499242007,1.1062353909574631e-16,9.51317202497884e-15,7.638334409421077e-14
0.0005,5.349392525342987,3.9940959078458595,4.016113451174267,4.014609632499408,0.0026746962626714933,0.00199704795392293,0.44400857304806535,0.015727341902859456,0.45515085813009387,2.1791898245150153e-15,1.5645572887011816e-14,1.1102230246251565e-13
0.001,4.911358790961219,3.9808428773169595,4.014773721519915,4.0146096324974225,0.0051303756581521035,0.00398746939258141,0.444456865582784,0.015754165371533235,0.45513397475250433,7.572745732482661e-16,1.4443463304283998e-14,9.192646643896296e-14
0.0015,4.709078476819409,3.9703188931110738,4.014047520764538,4.01460963247808,0.007484914896561808,0.005972628839136946,0.44480438106081244,0.01575835445756539,0.4551118293828201,7.662273728911858e-16,1.5729400801923054e-14,1.1901590823981678e-13
0.002,4.593623932973895,3.9612794680602397,4.013683098095416,4.014609632354276,0.009781726863048755,0.007953268573167065,0.445094351478251,0.015756745532652213,0.45508516430067214,3.021097941474289e-16,1.8609797092415665e-14,1.4344081478157023e-13
0.0025,4.516939992326854,3.953199862640133,4.013522635062969,4.014609631764877,0.012040196859212182,0.009929868504487132,0.4453460601568813,0.01575287991074091,0.45505445941611083,5.112452003221642e-15,2.0212897940856938e-14,1.4299672557172016e-13
0.003,4.460847401789469,3.945804659280626,4.013473926065853,4.014609629528441,0.014270620560106917,0.011902770834127446,0.4455697468947434,0.015747880593330932,0.4550200569309862,2.370597636967481e-15,1.2733201010153919e-14,1.1368683772161603e-13
0.0035,4.41714234800797,3.9389289695019065,4.013484709583877,4.014609622449088,0.0164791917341109,0.0138722353188784,0.4457715757139571,0.01574221791842467,0.4549822166045135,1.3446913669022337e-15,1.4630995892632507e-14,1.0835776720341528e-13
0.004,4.381568075320162,3.932465066096864,4.0135259696981045,4.014609603128118,0.018669975771770982,0.015838467851926833,0.4459555967667672,0.01573612728014272,0.45494114433600097,5.827851839210036e-16,1.5336187499127282e-14,1.1057821325266559e-13
0.0045000000000000005,4.351676676787721,3.926338060145968,4.013582094555631,4.014609556514025,0.020845814110164843,0.017801636881999816,0.446124644057884,0.015729741338788027,0.45489700858781484,2.321640662777056e-15,1.023910467707851e-14,1.0258460747536446e-13
0.005,4.32594865444184,3.9204934220826138,4.013645278918365,4.0146094551239555,0.023008788437385762,0.019761883593041124,0.4462807957456452,0.015723141402719132,0.45484995057129324,5.646138799329995e-16,1.4005311832163017e-14,1.1057821325266559e-13
0.0055,4.303384080066388,3.9148899957780188,4.013712365781435,4.01460925313635,0.025160480477418957,0.021719328590930134,0.44642563160278625,0.015716380516227955,0.45480009094261226,2.80562347402937e-15,1.0235648629274803e-14,1.0080825063596421e-13
0.006,4.2832940209831305,3.909495816873009,4.013783043358358,4.0146088798001465,0.027302127487910523,0.02367407649936664,0.44656038709159906,0.015709494996774636,0.45474753441114873,3.3825393261312617e-15,1.4898902294725856e-14,1.2034817586936697e-13
0.006500000000000001,4.265185928887971,3.9042854733662327,4.0138587810948705,4.014608232756183,0.02943472045235451,0.02562621923604976,0.44668605066549694,0.015702510685848107,0.4546923730314569,1.496718431043649e-16,1.278505777684924e-14,1.141309269314661e-13
0.007,4.248696783665887,3.8992383663698402,4.013942164812566,4.014607171897769,0.03155906884418745,0.02757583841923468,0.44680342797492223,0.01569544655825195,0.45463468862869133,7.022681378796042e-16,1.3652723815828347e-14,1.1235457009206584e-13
0.0075,4.233552135766236,3.894337522439962,4.014036448990912,4.014605514314309,0.03367584491207057,0.029523007180454662,0.4469131858183104,0.01568831691622909,0.4545745546327551,1.970106946843336e-15,1.2921611012750113e-14,1.2034817586936697e-13
0.008,4.219539967658845,3.8895687578505003,4.014145232254173,4.0146030307082015,0.03578561489589999,0.03146779155937991,0.4470158831860118,0.015681132781282938,0.45451203749632524,5.196515474295341e-16,1.2420379104003673e-14,9.636735853746359e-14
0.0085,4.206493425017816,3.884920075260324,4.014272209669261,4.014599443491649,0.0378888616084089,0.033410251597010075,0.4471119937936875,0.015673902809250732,0.4544471978122112,4.9487018303454307e-17,1.3927568083618086e-14,1.1191048088221578e-13
0.009000000000000001,4.194279063995194,3.8803812184074875,4.014420979823299,4.014594426596316,0.0399860011404065,0.03535044220621382,0.4472019228357741,0.01566663391060083,0.4543800912081164,7.610106879147289e-16,7.802075067591141e-15,7.149836278586008e-14
0.0095,4.182788644012719,3.875943337033208,4.014594896138742,4.014587606884241,0.04207739546241286,0.037288413874730426,0.44728601970970916,0.015659331682162714,0.45431076907319023,1.0053029363046626e-15,1.752963663135663e-14,1.1590728377086634e-13
0.01,4.171933265856696,3.8715987304291923,4.014796956593691,4.014578566950055,0.04416336209534121,0.03922421323994502,0.44736458786434075,0.015652000714615175,0.4542392791549323,1.5667647685007633e-15,1.4650121737236443e-14,1.212363542890671e-13
0.0105,4.161639100781003,3.867340648178289,4.0150297274651345,4.014566849046503,0.04624418164573171,0.041157883564034166,0.4474378925509986,0.015644644815977552,0.45416566605449665,1.6673463834490176e-16,1.1718748855724088e-14,1.0258460747536446e-13
0.011,4.151844223287803,3.8631631332351204,4.015295296841004,4.014551959843092,0.04832010375737562,0.043089465130651726,0.4475061670142211,0.015637267176999453,0.454089971641192,1.80498231946799e-15,1.7519421672338707e-14,1.2434497875801753e-13
0.0115,4.142496224920011,3.859060896845677,4.015595253435277,4.014533375737381,0.05039135186983562,0.045018995579074565,0.44756961749996504,0.01562987049553862,0.454012235401747,3.758815234808944e-15,1.4252744659548412e-14,1.2168044349891716e-13
0.012,4.133550390688791,3.8550292177491055,4.015930686120383,4.0145105484610815,0.052458127065180014,0.04694651018794912,0.44762842735224867,0.015622457071458682,0.4539324947363911,6.647558941429492e-16,1.5849916529232193e-14,1.1368683772161603e-13
0.0125,4.124968287400185,3.851063860137929,4.016302199693279,4.014482910761786,0.054520611208880104,0.048872042118018086,0.4476827603961029,0.01561502887998739,0.4538507852110776,1.217890377914909e-15,1.1279963727210427e-14,9.14823772291129e-14
0.013000000000000001,4.116716657964467,3.847161006277404,4.016709942713496,4.014449881980599,0.05657896953786234,0.05079562262115679,0.4477327637537285,0.015607587629100016,0.45376714077322755,2.983407222392763e-16,1.648623647103937e-14,1.2745360322696797e-13
0.0135,4.108766546050464,3.8433172007043974,4.017153643723858,4.014410873386849,0.05863335281088757,0.05271728122150899,0.4477785702048905,0.015600134804897029,0.4536815939368859,2.349123833675322e-15,1.489272318197618e-14,1.3455903058456897e-13
0.014,4.1010925962676525,3.8395293036613367,4.017632652719073,4.014365293169379,0.060683899109021396,0.05463704587333966,0.4478203001766669,0.015592671707844454,0.453594175942131,1.5278419221576841e-15,1.6220392425438172e-14,1.389999226830696e-13
0.0145,4.093672489605782,3.8357944519629,4.018145985299653,4.014312551015712,0.06273073535382429,0.05655494309932111,0.44785806342881873,0.015585199481982582,0.45350491689260525,1.0119323593059448e-15,1.3745338366816938e-14,1.163513729807164e-13
0.015,4.086486484179941,3.8321100258937952,4.018692367495487,4.014252062239851,0.06477397859591426,0.05847099811226801,0.4478919604871616,0.01557771913866634,0.4534138458744321,9.305093444116038e-16,1.504196891864081e-14,9.947598300641403e-14
0.0155,4.079517038744551,3.828473621038608,4.019270279735226,4.0141832514400715,0.06681373711528653,0.060385234922787315,0.4479220838666645,0.015570231576011787,0.4533209910592329,2.0946714430910977e-15,1.5035312390019578e-14,1.2567724638756772e-13
0.016,4.0727485018406995,3.8248830241733436,4.019877998863084,4.0141055556873715,0.06885011136620688,0.06229767643487399,0.44794851911815625,0.0155627375949409,0.45322637979347613,2.1952656274119697e-15,1.2957792958382343e-14,1.199040866595169e-13
0.0165,4.066166853415964,3.8213361925244747,4.020513637457551,4.014018427256998,0.07088319479291486,0.06420834453113622,0.4479713457261356,0.015555237912510105,0.45313003867611085,2.534145257380594e-16,1.4458555600588197e-14,1.0880185641326534e-13
