x,y,c_full
0.0,1.0,0.2730780505311653
0.0,0.984375,0.2730784449056454
0.015625,1.0,0.2703055133825738
0.0,0.96875,0.273078589603429
0.015625,0.984375,0.2703055796247054
0.03125,1.0,0.2674667274633832
0.0,0.953125,0.27307865962030464
0.015625,0.96875,0.2703056466415689
0.03125,0.984375,0.26746671160930385
0.046875,1.0,0.26456254837811427
0.0,0.9375,0.27307869867971424
0.015625,0.953125,0.27030569157764955
0.03125,0.96875,0.26746672378614417
0.046875,0.984375,0.2645625077041092
0.0625,1.0,0.26159373316132306
0.0,0.921875,0.27307872150089163
0.015625,0.9375,0.2703057192669536
0.03125,0.953125,0.26746673879733934
0.046875,0.96875,0.264562490235052
0.0625,0.984375,0.26159368277831546
0.078125,1.0,0.258561024425287
0.0,0.90625,0.2730787345162367
0.015625,0.921875,0.2703057353025003
0.03125,0.9375,0.26746674951720173
0.046875,0.953125,0.26456248244389624
0.0625,0.96875,0.2615936491948098
0.078125,0.984375,0.2585609690469146
0.09375,1.0,0.2554651709725454
0.0,0.890625,0.2730787411179286
0.015625,0.90625,0.27030574347152986
0.03125,0.921875,0.2674667549762072
0.046875,0.9375,0.2645624771615877
0.0625,0.953125,0.26159362577252193
0.078125,0.96875,0.25856092599549263
0.09375,0.984375,0.2554651123779651
0.109375,1.0,0.252306933480898
0.0,0.875,0.2730787433291468
0.015625,0.890625,0.2703057462075863
0.03125,0.90625,0.2674667558635359
0.046875,0.921875,0.2645624713537855
0.0625,0.9375,0.26159360752392397
0.078125,0.953125,0.25856089193546633
0.09375,0.96875,0.2554650632047396
0.109375,0.984375,0.25230687247473066
0.125,1.0,0.24908708626557563
0.0,0.859375,0.27307874245513236
0.015625,0.875,0.27030574510995453
0.03125,0.890625,0.26746675313411034
0.046875,0.90625,0.2645624640044468
0.0625,0.921875,0.2615935914669816
0.078125,0.9375,0.2585608637072417
0.09375,0.953125,0.25546502167498797
0.109375,0.96875,0.25230681896965057
0.125,0.984375,0.24908702327009996
0.140625,1.0,0.24580641785372453
0.0,0.84375,0.2730787393812258
0.015625,0.859375,0.27030574126663925
0.03125,0.875,0.2674667476399727
0.046875,0.890625,0.2645624549582895
0.0625,0.90625,0.2615935760382146
0.078125,0.921875,0.2585608389687244
0.09375,0.9375,0.25546498581625343
0.109375,0.953125,0.25230677195286105
0.125,0.96875,0.24908696645910128
0.140625,0.984375,0.24580635311758764
0.15625,1.0,0.24246573113804148
0.0,0.828125,0.2730787347276235
0.015625,0.84375,0.27030573544069286
0.03125,0.859375,0.2674667400653055
0.046875,0.875,0.2645624443849019
0.0625,0.890625,0.261593560508075
0.078125,0.90625,0.25856081619398796
0.09375,0.921875,0.25546495392826113
0.109375,0.9375,0.2523067301727555
0.125,0.953125,0.24908691521845056
0.140625,0.96875,0.24580629362875706
0.15625,0.984375,0.242465664821393
0.171875,1.0,0.23906584335667694
0.0,0.8125,0.27307872893798013
0.015625,0.828125,0.2703057281797044
0.03125,0.84375,0.2674667309412057
0.046875,0.859375,0.2645624325497129
0.0625,0.875,0.2615935445926941
0.078125,0.890625,0.2585607944676487
0.09375,0.90625,0.25546492472862503
0.109375,0.921875,0.2523066924255743
0.125,0.9375,0.24908686873103336
0.140625,0.953125,0.245806238993962
0.15625,0.96875,0.24246560306261905
0.171875,0.984375,0.2390657755704539
0.1875,1.0,0.23560758599110868
0.0,0.796875,0.2730787223340404
0.015625,0.8125,0.2703057198830137
0.03125,0.828125,0.26746672067530897
0.046875,0.84375,0.26456241972211575
0.0625,0.859375,0.2615935282305649
0.078125,0.875,0.25856077327577154
0.09375,0.890625,0.25546489732544
0.109375,0.90625,0.2523066577001842
0.125,0.921875,0.24908682614511587
0.140625,0.9375,0.24580618866241202
0.15625,0.953125,0.24246554559790204
0.171875,0.96875,0.23906571182072947
0.1875,0.984375,0.23560751681701936
0.203125,1.0,0.23209180462061857
0.0,0.78125,0.2730787151512145
0.015625,0.796875,0.27030571084496285
0.03125,0.8125,0.26746670957929347
0.046875,0.828125,0.26456240614219334
0.0625,0.84375,0.2615935114625913
0.078125,0.859375,0.25856075234988124
0.09375,0.875,0.2554648711308153
0.109375,0.890625,0.25230662521483954
0.125,0.90625,0.24908678668429804
0.140625,0.921875,0.24580614202465284
0.15625,0.9375,0.24246549204405618
0.171875,0.953125,0.23906565192340098
0.1875,0.96875,0.23560745127610996
0.203125,0.984375,0.23209173412210726
0.21875,1.0,0.22851935875144638
0.0,0.765625,0.27307870756266833
0.015625,0.78125,0.2703057012839067
0.03125,0.796875,0.26746669789101757
0.046875,0.8125,0.2645623920117507
0.0625,0.828125,0.2615934943702154
0.078125,0.84375,0.2585607315642593
0.09375,0.859375,0.2554648457720797
0.109375,0.875,0.25230659439662956
0.125,0.890625,0.24908674969773323
0.140625,0.90625,0.2458060984889837
0.15625,0.921875,0.24246544195763556
0.171875,0.9375,0.23906559560387267
0.1875,0.953125,0.23560738923548408
0.203125,0.96875,0.23209166693900898
0.21875,0.984375,0.22851928698007934
0.234375,1.0,0.22489112162982197
0.0,0.75,0.273078699696098
0.015625,0.765625,0.2703056913623284
0.03125,0.78125,0.267466685791613
0.046875,0.796875,0.2645623774950134
0.0625,0.8125,0.26159347704462316
0.078125,0.828125,0.25856071087248306
0.09375,0.84375,0.25546482102038554
0.109375,0.859375,0.2523065648401741
0.125,0.875,0.24908671466893365
0.140625,0.890625,0.24580605752680912
0.15625,0.90625,0.24246539488643135
0.171875,0.921875,0.23906554253331877
0.1875,0.9375,0.23560733049294097
0.203125,0.953125,0.2320916029725272
0.21875,0.96875,0.22851921827008775
0.234375,0.984375,0.2248910486291907
0.25,1.0,0.2212079800438909
0.0,0.734375,0.2730786916456451
0.015625,0.75,0.27030568120114407
0.03125,0.765625,0.26746667341853636
0.046875,0.78125,0.264562362722794
0.0625,0.796875,0.26159345957220337
0.078125,0.8125,0.2585606902696407
0.09375,0.828125,0.2554647967392406
0.109375,0.84375,0.2523065362650211
0.125,0.859375,0.24908668120251054
0.140625,0.875,0.245806018691448
0.15625,0.890625,0.24246535040541772
0.171875,0.90625,0.23906549236318606
0.1875,0.921875,0.2356072747998526
0.203125,0.9375,0.23209154207002905
0.21875,0.953125,0.2285191525460919
0.234375,0.96875,0.2248909784845547
0.25,0.984375,0.22120790585209416
0.265625,1.0,0.21747083411742524
0.0,0.71875,0.2730786834804857
0.015625,0.734375,0.2703056708900667
0.03125,0.75,0.2674666608755309
0.046875,0.765625,0.26456234779753
0.0625,0.78125,0.2615934420283801
0.078125,0.796875,0.25856066977043163
0.09375,0.8125,0.2554647728495408
0.109375,0.828125,0.2523065084796097
0.125,0.84375,0.24908664900251315
0.140625,0.859375,0.24580598161926037
0.15625,0.875,0.24246530813669998
0.171875,0.890625,0.23906544475217278
0.1875,0.90625,0.23560722188442748
0.203125,0.921875,0.23209148403988172
0.21875,0.9375,0.2285190896902287
0.234375,0.953125,0.22489091113704374
0.25,0.96875,0.22120783434890037
0.265625,0.984375,0.2174707587687023
0.28125,1.0,0.21368059709707127
0.0,0.703125,0.27307867525109336
0.015625,0.71875,0.27030566049522015
0.03125,0.734375,0.2674666482402454
0.046875,0.75,0.26456233279814684
0.0625,0.765625,0.2615934244756852
0.078125,0.78125,0.2585606493968021
0.09375,0.796875,0.2554647493066553
0.109375,0.8125,0.2523064813535789
0.125,0.828125,0.24908661785005018
0.140625,0.84375,0.2458059460212469
0.15625,0.859375,0.2424652677568774
0.171875,0.875,0.2390653993838998
0.1875,0.890625,0.23560717147150012
0.203125,0.90625,0.23209142866733187
0.21875,0.921875,0.2285190295520275
0.234375,0.9375,0.22489084649371738
0.25,0.953125,0.22120776548734444
0.265625,0.96875,0.2174706859714601
0.28125,0.984375,0.21368052062290763
0.296875,1.0,0.20983819513424304
0.0,0.6875,0.2730786669938465
0.015625,0.703125,0.2703056500647924
0.03125,0.71875,0.2674666355700826
0.046875,0.734375,0.2645623177843626
0.0625,0.75,0.26159340696390215
0.078125,0.765625,0.2585606291712194
0.09375,0.78125,0.25546472608577625
